problem_id,category,title,input_size,go_median_ns,v_median_ns,go_speedup_over_v,faster,checksum_match
1,Array,704 Binary Search,512,760.000000,2512.500000,3.305921,go,true
1,Array,704 Binary Search,2048,2022.000000,8118.000000,4.014837,go,true
1,Array,704 Binary Search,8192,6459.000000,30573.000000,4.733395,go,true
2,Array,27 Remove Element,512,1661.500000,2874.500000,1.730063,go,true
2,Array,27 Remove Element,2048,6522.500000,13775.000000,2.111920,go,true
2,Array,27 Remove Element,8192,26110.500000,48690.000000,1.864767,go,true
3,Array,977 Squares of Sorted Array,512,6421.500000,21814.000000,3.397026,go,true
3,Array,977 Squares of Sorted Array,2048,28304.000000,102992.500000,3.638797,go,true
3,Array,977 Squares of Sorted Array,8192,348240.000000,708849.500000,2.035520,go,true
4,Array,209 Minimum Size Subarray Sum,512,1386.000000,2248.500000,1.622294,go,true
4,Array,209 Minimum Size Subarray Sum,2048,5502.000000,9382.500000,1.705289,go,true
4,Array,209 Minimum Size Subarray Sum,8192,21613.000000,37904.500000,1.753782,go,true
5,Array/Matrix,59 Spiral Matrix II,512,970.000000,2410.500000,2.485052,go,true
5,Array/Matrix,59 Spiral Matrix II,2048,3882.000000,9265.500000,2.386785,go,true
5,Array/Matrix,59 Spiral Matrix II,8192,14954.500000,41763.500000,2.792705,go,true
6,Array,53 Maximum Subarray,512,1361.500000,2433.500000,1.787367,go,true
6,Array,53 Maximum Subarray,2048,5382.000000,11563.000000,2.148458,go,true
6,Array,53 Maximum Subarray,8192,20609.500000,42305.500000,2.052718,go,true
7,Array,56 Merge Intervals,512,35486.000000,23849.500000,0.672082,v,true
7,Array,56 Merge Intervals,2048,208893.000000,116106.000000,0.555816,v,true
7,Array,56 Merge Intervals,8192,905383.000000,470874.500000,0.520083,v,true
8,Array,238 Product Except Self,512,5000.500000,6916.500000,1.383162,go,true
8,Array,238 Product Except Self,2048,19826.500000,28845.500000,1.454896,go,true
8,Array,238 Product Except Self,8192,81115.500000,106359.500000,1.311211,go,true
9,Hash,1 Two Sum,512,7017.000000,12514.000000,1.783383,go,true
9,Hash,1 Two Sum,2048,10114.000000,19148.500000,1.893267,go,true
9,Hash,1 Two Sum,8192,21447.000000,36814.000000,1.716510,go,true
10,Hash,242 Valid Anagram,512,1254.500000,5592.000000,4.457553,go,true
10,Hash,242 Valid Anagram,2048,4781.500000,17707.500000,3.703336,go,true
10,Hash,242 Valid Anagram,8192,19203.500000,73821.000000,3.844143,go,true
11,Hash,49 Group Anagrams,512,111300.500000,662021.500000,5.948055,go,true
11,Hash,49 Group Anagrams,2048,429782.500000,3231833.000000,7.519694,go,true
11,Hash,49 Group Anagrams,8192,1707949.500000,11275966.500000,6.602049,go,true
12,Hash,454 4Sum II,512,94605.000000,175855.000000,1.858834,go,true
12,Hash,454 4Sum II,2048,1879266.000000,3217433.000000,1.712069,go,true
12,Hash,454 4Sum II,8192,3445383.000000,5304066.500000,1.539471,go,true
