language,problem_id,category,title,core,input_size,trial,elapsed_ns,iterations,checksum
go,1,"Array","704 Binary Search","binary boundaries",512,0,2133,2397,8004
go,1,"Array","704 Binary Search","binary boundaries",512,1,834,6498,8004
go,1,"Array","704 Binary Search","binary boundaries",512,2,21439,3177,8004
go,1,"Array","704 Binary Search","binary boundaries",512,3,915,5607,8004
go,1,"Array","704 Binary Search","binary boundaries",512,4,759,6729,8004
go,1,"Array","704 Binary Search","binary boundaries",512,5,716,7125,8004
go,1,"Array","704 Binary Search","binary boundaries",512,6,750,7017,8004
go,1,"Array","704 Binary Search","binary boundaries",512,7,744,6870,8004
go,1,"Array","704 Binary Search","binary boundaries",512,8,761,6726,8004
go,1,"Array","704 Binary Search","binary boundaries",512,9,844,6156,8004
go,1,"Array","704 Binary Search","binary boundaries",512,10,775,6588,8004
go,1,"Array","704 Binary Search","binary boundaries",512,11,747,7545,8004
go,1,"Array","704 Binary Search","binary boundaries",512,12,764,7365,8004
go,1,"Array","704 Binary Search","binary boundaries",512,13,809,6489,8004
go,1,"Array","704 Binary Search","binary boundaries",512,14,751,6903,8004
go,1,"Array","704 Binary Search","binary boundaries",512,15,825,6225,8004
go,1,"Array","704 Binary Search","binary boundaries",512,16,741,6843,8004
go,1,"Array","704 Binary Search","binary boundaries",512,17,747,7188,8004
go,1,"Array","704 Binary Search","binary boundaries",512,18,738,6927,8004
go,1,"Array","704 Binary Search","binary boundaries",512,19,719,7095,8004
go,1,"Array","704 Binary Search","binary boundaries",2048,0,2111,2442,32955
go,1,"Array","704 Binary Search","binary boundaries",2048,1,1981,2580,32955
go,1,"Array","704 Binary Search","binary boundaries",2048,2,2091,2448,32955
go,1,"Array","704 Binary Search","binary boundaries",2048,3,2040,2526,32955
go,1,"Array","704 Binary Search","binary boundaries",2048,4,2043,2469,32955
go,1,"Array","704 Binary Search","binary boundaries",2048,5,2025,2607,32955
go,1,"Array","704 Binary Search","binary boundaries",2048,6,1909,2697,32955
go,1,"Array","704 Binary Search","binary boundaries",2048,7,1987,2661,32955
go,1,"Array","704 Binary Search","binary boundaries",2048,8,1986,2577,32955
go,1,"Array","704 Binary Search","binary boundaries",2048,9,2010,2799,32955
go,1,"Array","704 Binary Search","binary boundaries",2048,10,2115,2511,32955
go,1,"Array","704 Binary Search","binary boundaries",2048,11,1925,2664,32955
go,1,"Array","704 Binary Search","binary boundaries",2048,12,2068,2880,32955
go,1,"Array","704 Binary Search","binary boundaries",2048,13,2073,2559,32955
go,1,"Array","704 Binary Search","binary boundaries",2048,14,2105,2472,32955
go,1,"Array","704 Binary Search","binary boundaries",2048,15,2338,2196,32955
go,1,"Array","704 Binary Search","binary boundaries",2048,16,2019,2691,32955
go,1,"Array","704 Binary Search","binary boundaries",2048,17,1878,2667,32955
go,1,"Array","704 Binary Search","binary boundaries",2048,18,1951,2937,32955
go,1,"Array","704 Binary Search","binary boundaries",2048,19,1892,2931,32955
go,1,"Array","704 Binary Search","binary boundaries",8192,0,6294,849,125267
