language,problem_id,category,title,core,input_size,trial,elapsed_ns,iterations,checksum
v,1,"Array","704 Binary Search","binary boundaries",512,0,2942,1701,8004
v,1,"Array","704 Binary Search","binary boundaries",512,1,3065,1632,8004
v,1,"Array","704 Binary Search","binary boundaries",512,2,2856,1770,8004
v,1,"Array","704 Binary Search","binary boundaries",512,3,2654,1884,8004
v,1,"Array","704 Binary Search","binary boundaries",512,4,2320,2157,8004
v,1,"Array","704 Binary Search","binary boundaries",512,5,2568,1947,8004
v,1,"Array","704 Binary Search","binary boundaries",512,6,2335,2142,8004
v,1,"Array","704 Binary Search","binary boundaries",512,7,2510,1992,8004
v,1,"Array","704 Binary Search","binary boundaries",512,8,2515,2007,8004
v,1,"Array","704 Binary Search","binary boundaries",512,9,2625,1905,8004
v,1,"Array","704 Binary Search","binary boundaries",512,10,2071,2415,8004
v,1,"Array","704 Binary Search","binary boundaries",512,11,2222,2250,8004
v,1,"Array","704 Binary Search","binary boundaries",512,12,2046,2445,8004
v,1,"Array","704 Binary Search","binary boundaries",512,13,2529,1977,8004
v,1,"Array","704 Binary Search","binary boundaries",512,14,2664,1890,8004
v,1,"Array","704 Binary Search","binary boundaries",512,15,2474,2022,8004
v,1,"Array","704 Binary Search","binary boundaries",512,16,2471,2025,8004
v,1,"Array","704 Binary Search","binary boundaries",512,17,2424,2064,8004
v,1,"Array","704 Binary Search","binary boundaries",512,18,2526,1983,8004
v,1,"Array","704 Binary Search","binary boundaries",512,19,2452,2055,8004
v,1,"Array","704 Binary Search","binary boundaries",2048,0,10173,492,32955
v,1,"Array","704 Binary Search","binary boundaries",2048,1,8262,606,32955
v,1,"Array","704 Binary Search","binary boundaries",2048,2,8074,624,32955
v,1,"Array","704 Binary Search","binary boundaries",2048,3,10000,501,32955
v,1,"Array","704 Binary Search","binary boundaries",2048,4,8737,573,32955
v,1,"Array","704 Binary Search","binary boundaries",2048,5,7552,663,32955
v,1,"Array","704 Binary Search","binary boundaries",2048,6,7726,648,32955
v,1,"Array","704 Binary Search","binary boundaries",2048,7,8439,594,32955
v,1,"Array","704 Binary Search","binary boundaries",2048,8,7671,654,32955
v,1,"Array","704 Binary Search","binary boundaries",2048,9,7919,636,32955
v,1,"Array","704 Binary Search","binary boundaries",2048,10,8212,612,32955
v,1,"Array","704 Binary Search","binary boundaries",2048,11,7926,633,32955
v,1,"Array","704 Binary Search","binary boundaries",2048,12,7958,630,32955
v,1,"Array","704 Binary Search","binary boundaries",2048,13,8212,609,32955
v,1,"Array","704 Binary Search","binary boundaries",2048,14,7648,654,32955
v,1,"Array","704 Binary Search","binary boundaries",2048,15,7760,645,32955
v,1,"Array","704 Binary Search","binary boundaries",2048,16,8162,615,32955
v,1,"Array","704 Binary Search","binary boundaries",2048,17,7814,642,32955
v,1,"Array","704 Binary Search","binary boundaries",2048,18,9371,534,32955
v,1,"Array","704 Binary Search","binary boundaries",2048,19,10331,486,32955
v,1,"Array","704 Binary Search","binary boundaries",8192,0,34214,150,125267
v,1,"Array","704 Binary Search","binary boundaries",8192,1,29239,174,125267
v,1,"Array","704 Binary Search","binary boundaries",8192,2,40377,126,125267
v,1,"Array","704 Binary Search","binary boundaries",8192,3,35145,144,125267
v,1,"Array","704 Binary Search","binary boundaries",8192,4,33098,153,125267
v,1,"Array","704 Binary Search","binary boundaries",8192,5,29560,171,125267
v,1,"Array","704 Binary Search","binary boundaries",8192,6,30496,165,125267
v,1,"Array","704 Binary Search","binary boundaries",8192,7,30650,165,125267
v,1,"Array","704 Binary Search","binary boundaries",8192,8,30094,168,125267
v,1,"Array","704 Binary Search","binary boundaries",8192,9,35326,144,125267
v,1,"Array","704 Binary Search","binary boundaries",8192,10,29906,168,125267
v,1,"Array","704 Binary Search","binary boundaries",8192,11,30407,165,125267
v,1,"Array","704 Binary Search","binary boundaries",8192,12,30824,165,125267
v,1,"Array","704 Binary Search","binary boundaries",8192,13,30460,165,125267
v,1,"Array","704 Binary Search","binary boundaries",8192,14,28928,174,125267
v,1,"Array","704 Binary Search","binary boundaries",8192,15,30654,165,125267
v,1,"Array","704 Binary Search","binary boundaries",8192,16,30983,162,125267
v,1,"Array","704 Binary Search","binary boundaries",8192,17,29329,171,125267
v,1,"Array","704 Binary Search","binary boundaries",8192,18,31529,162,125267
v,1,"Array","704 Binary Search","binary boundaries",8192,19,30464,165,125267
v,2,"Array","27 Remove Element","two pointers",512,0,2767,1809,4364351503832204893
v,2,"Array","27 Remove Element","two pointers",512,1,2769,1806,4364351503832204893
v,2,"Array","27 Remove Element","two pointers",512,2,2970,1701,4364351503832204893
v,2,"Array","27 Remove Element","two pointers",512,3,3228,1569,4364351503832204893
v,2,"Array","27 Remove Element","two pointers",512,4,2983,1677,4364351503832204893
v,2,"Array","27 Remove Element","two pointers",512,5,2815,1776,4364351503832204893
v,2,"Array","27 Remove Element","two pointers",512,6,2783,1797,4364351503832204893
v,2,"Array","27 Remove Element","two pointers",512,7,2894,1728,4364351503832204893
v,2,"Array","27 Remove Element","two pointers",512,8,2857,1752,4364351503832204893
v,2,"Array","27 Remove Element","two pointers",512,9,2770,1806,4364351503832204893
